equipment_id,equipment_model,casing_temperature_c,vibration_mm_s,discharge_pressure_bar,flow_lpm,motor_current_a,hours_since_maintenance,failure_within_7_days
PX200-0387,PX-200,60.9,1.45,5.34,211.6,11.6,1729,0
PX200-0388,PX-200,76.7,6.8,4.86,169.1,14.2,320,1
PX200-0389,PX-200,59.2,3.5,4.83,188.2,10.1,583,0
PX200-0390,PX-200,76.2,3.8,4.66,133.8,15.8,1071,0
PX200-0391,PX-200,79.5,4.24,4.93,164.7,14,1311,0
PX200-0392,PX-200,64.4,2.71,4.9,195,9.3,1618,0
PX200-0393,PX-200,65.8,5.64,3.9,128.8,13.6,1741,0
PX200-0394,PX-200,73.8,6.29,4.33,157.5,14.2,2367,1
PX200-0395,PX-200,79.4,4.05,4.32,194,12.9,876,0
PX200-0396,PX-200,68.4,3.82,4.26,168.4,13.3,1622,0
PX200-0397,PX-200,82,4.5,4.92,149.1,12.7,1492,0
PX200-0398,PX-200,78.5,7.02,3.95,149.1,16.2,1498,1
PX200-0399,PX-200,74.9,2.05,5.2,175.8,10.3,1615,0
PX200-0400,PX-200,71.8,1.6,5.17,192.7,10.7,556,0
PX200-0401,PX-200,65.5,1.99,5.35,187.5,9.9,1227,0
PX200-0402,PX-200,67.1,3.37,5.03,185.9,11.6,748,0
PX200-0403,PX-200,77.9,5.13,5.07,166.5,14.7,1179,0
PX200-0404,PX-200,56,2.81,4.74,169,10.5,597,0
PX200-0405,PX-200,55.8,2.97,5.69,191.5,10.1,827,0
PX200-0406,PX-200,89.2,6.02,3.58,157.9,14.9,2869,1
PX200-0407,PX-200,76.4,6.03,4.73,166.3,12.8,1194,0
PX200-0408,PX-200,93,8.31,3.99,138.2,14.4,2028,1
PX200-0409,PX-200,60.5,1.5,5.25,177.5,10.1,1446,0
PX200-0410,PX-200,80.2,6.12,3.44,137.9,14.7,1482,1
PX200-0411,PX-200,84.7,5.56,3.59,144.8,18.3,2613,1
PX200-0412,PX-200,51,3.24,4.98,207.2,11.8,870,0
PX200-0413,PX-200,80.2,6,4.66,156.4,14.3,1490,1
PX200-0414,PX-200,53.3,2.63,5.27,193.6,9.6,896,0
PX200-0415,PX-200,91.5,6.83,4.14,145.4,14.6,2997,1
PX200-0416,PX-200,60,3.39,5.32,199.7,11.8,406,0
PX200-0417,PX-200,69,3.16,5.41,163.7,11.9,186,0
PX200-0418,PX-200,72.9,4.32,3.99,167.3,14.4,1725,1
PX200-0419,PX-200,61,1.55,5.32,197.7,8.6,1118,0
PX200-0420,PX-200,69.4,5.73,4.83,155.3,14.1,656,1
PX200-0421,PX-200,70.9,3.12,5.15,193.8,14.1,626,0
PX200-0422,PX-200,67.7,2.23,5.06,195.2,10.1,920,0
PX200-0423,PX-200,56,3.13,5,169.1,10.3,634,0
PX200-0424,PX-200,79.9,6.42,4.23,143.4,14.6,1752,1
PX200-0425,PX-200,72.5,3.49,4.73,150.9,13.6,1335,0
PX200-0426,PX-200,63.8,1.89,5.49,167.8,9.8,50,0
PX200-0427,PX-200,53,2.79,5.08,207,10.3,695,0
PX200-0428,PX-200,61.7,4.76,5.23,212.5,9.6,299,0
PX200-0429,PX-200,90.6,7.86,4.4,123.3,16,2393,1
PX200-0430,PX-200,62.3,1.38,5.34,195.7,9.6,489,0
PX200-0431,PX-200,84.1,4.82,3.79,148.9,13.5,1774,1
PX200-0432,PX-200,67.9,5.47,4.09,167.3,14.7,1038,1
PX200-0433,PX-200,72.9,5.27,4.88,193.3,15.2,1624,1
PX200-0434,PX-200,54,3.08,4.88,189.8,12,956,0
PX200-0435,PX-200,69.3,0.81,5.86,224,7.9,1028,0
PX200-0436,PX-200,50.2,1.37,5.67,177.5,11,910,0
PX200-0437,PX-200,65.2,2.5,5.37,203,9.9,721,0
PX200-0438,PX-200,53.5,1.77,5.19,183.3,11.8,985,0
PX200-0439,PX-200,79.1,7.23,3.47,129.4,15.1,1782,1
PX200-0440,PX-200,70.6,1.86,4.52,213.9,9.9,1701,0
PX200-0441,PX-200,73.5,2.73,5.05,180.2,11.4,210,0
PX200-0442,PX-200,80.2,2.91,4.84,195.8,10.1,830,0
PX200-0443,PX-200,58.7,2.51,4.89,208.8,11.1,1098,0
PX200-0444,PX-200,100.9,5.91,4.21,109.1,16.9,1734,1
PX200-0445,PX-200,65.4,2.77,5.74,185.6,8.8,1168,0
PX200-0446,PX-200,62.5,2.64,5.2,207.7,13.9,807,0
PX200-0447,PX-200,80.7,6.4,4.22,141.8,17.7,2143,1
PX200-0448,PX-200,63.9,1.83,4.96,196.9,10.3,764,0
PX200-0449,PX-200,58,2.53,5.3,185.2,10,2340,0
PX200-0450,PX-200,73,4.21,5.24,176.4,12.1,1396,0
PX200-0451,PX-200,82.3,3.68,5.33,157.7,13.4,874,0
PX200-0452,PX-200,87.8,4.14,4.7,164.4,14.2,586,1
PX200-0453,PX-200,67.8,3.11,5,175.1,11.9,837,0
PX200-0454,PX-200,58.9,2.31,5.81,218.1,9.7,1032,0
PX200-0455,PX-200,59.1,2.51,5.43,199,10.4,1153,0
PX200-0456,PX-200,83.4,5.22,5.21,174.1,14.3,1812,0
PX200-0457,PX-200,83.8,7.39,3.78,128.4,17.5,1098,1
PX200-0458,PX-200,64.7,4.2,4.66,187,9.3,488,0
PX200-0459,PX-200,68.7,4.05,4.88,162.7,11.9,996,0
PX200-0460,PX-200,75.7,5.27,4.29,149.8,11.3,1938,0
PX200-0461,PX-200,73.3,5.64,4.92,164.6,12.3,1276,0
PX200-0462,PX-200,59.5,3.01,5.26,197.4,11.8,604,0
PX200-0463,PX-200,87.9,7.64,4.43,137,16.1,2127,1
PX200-0464,PX-200,65.8,1.48,5.03,166.5,9.8,1322,0
PX200-0465,PX-200,65.4,2.17,5.65,186.4,12.5,1202,0
PX200-0466,PX-200,69.1,4.71,4.8,149.9,13.2,1434,0
PX200-0467,PX-200,72.8,4.52,4.24,170.9,15,1332,1
PX200-0468,PX-200,60.7,2.66,5.19,185.9,9.5,471,0
PX200-0469,PX-200,90.7,7,4.28,140.3,14.1,1476,0
PX200-0470,PX-200,64.4,5.48,4.94,145.2,11.9,1278,0
PX200-0471,PX-200,75.8,6.68,3.52,117.9,15.1,1732,0
PX200-0472,PX-200,67.9,2.42,5.64,191.1,9.6,578,0
PX200-0473,PX-200,91,6.72,4.09,154.8,15.9,948,0
PX200-0474,PX-200,62.6,1.82,5.21,187.9,12.3,715,0
PX200-0475,PX-200,56.9,2.52,5.41,165.7,11.6,1284,0
PX200-0476,PX-200,85,6.6,4.37,157.4,13.5,1781,1
PX200-0477,PX-200,76.4,5.23,4.09,169,15,1330,0
PX200-0478,PX-200,83.3,6.98,3.89,162,13.6,2484,1
PX200-0479,PX-200,60.7,2.91,5.3,187.7,9.9,469,0
PX200-0480,PX-200,66.2,2.2,5.04,171.7,12.4,629,0
PX200-0481,PX-200,76.8,2.51,5.49,163.1,12.5,1373,0
PX200-0482,PX-200,57.3,3.65,5,210.3,11.7,658,0
PX200-0483,PX-200,67.9,1.99,5.34,162,11.7,989,0
PX200-0484,PX-200,64.7,2.87,5.22,194,12.5,276,0
PX200-0485,PX-200,73.2,2.02,5.74,184.6,12,545,0
PX200-0486,PX-200,82.7,6.9,3.91,121.2,14.9,2331,1
PX200-0487,PX-200,59.5,2.23,5.43,209.4,10,1311,0
PX200-0488,PX-200,84.2,4.08,4.34,207.2,11.1,1158,0
PX200-0489,PX-200,67.5,3.08,4.57,151.2,12.6,1560,0
PX200-0490,PX-200,75.3,5.6,4.37,164.8,14,1798,0
PX200-0491,PX-200,69.8,3.59,4.83,181.7,13.2,1389,1
PX200-0492,PX-200,75,3.72,4.89,196.4,14.3,2122,0
PX200-0493,PX-200,69.4,2.12,4.89,198.1,10,895,0
PX200-0494,PX-200,58.9,2.62,5.34,158.7,9.8,886,0
PX200-0495,PX-200,64.7,2.8,6.11,205.8,10.1,792,0
PX200-0496,PX-200,81.1,2.32,5.19,174.9,10.9,1140,0
PX200-0497,PX-200,83.5,4.41,4.86,155.9,11.5,1190,1
PX200-0498,PX-200,64.5,1.4,5.25,196.8,9.6,50,0
PX200-0499,PX-200,54.5,2.74,5.05,163.9,10.6,1115,0
PX200-0500,PX-200,77.5,5.65,5.01,128,14.1,643,0
PX200-0501,PX-200,59.4,2.78,5.12,201,10.2,804,0
PX200-0502,PX-200,68.5,2.31,4.96,188.9,9.3,801,0
PX200-0503,PX-200,60,1.7,5.02,180.2,8.5,660,0
PX200-0504,PX-200,58.9,4.94,4.18,144.7,14.6,1510,1
PX200-0505,PX-200,65.8,1.3,5.52,167.3,8.9,516,0
PX200-0506,PX-200,71.7,4.2,5.69,175.3,10.6,180,0
PX200-0507,PX-200,88.5,5.2,4.52,169.4,14.6,468,1
PX200-0508,PX-200,87.3,6.53,4.58,128.4,16.6,2351,1
PX200-0509,PX-200,71.4,4.69,5.23,148.4,14,846,1
PX200-0510,PX-200,60.9,3.94,4.92,222,11,1128,0
PX200-0511,PX-200,58,2.23,5.7,190.4,11.7,879,0
PX200-0512,PX-200,76.7,4.75,5.16,159.1,11.8,1569,0
PX200-0513,PX-200,89.2,5.67,3.76,131.9,17.9,2048,1
PX200-0514,PX-200,76.7,2.79,4.66,185.4,10.8,1190,0
PX200-0515,PX-200,69.7,2.59,5.18,186.1,10.1,1458,0
PX200-0516,PX-200,77.4,5.06,4.97,155.5,10.9,1543,0
PX200-0517,PX-200,63,2.38,4.97,193.1,8.7,929,0
PX200-0518,PX-200,61.3,3.28,4.84,165.6,10.9,305,0
PX200-0519,PX-200,58.8,3.28,5.33,209.4,11.2,837,0
PX200-0520,PX-200,53,2.93,5.56,185.4,10,1104,1
PX200-0521,PX-200,55.2,2.3,5.07,187.9,10.9,572,0
PX200-0522,PX-200,83.7,6.05,3.95,155,16.1,1734,0
PX200-0523,PX-200,71.3,5.68,5.72,165.3,14.6,850,0
PX200-0524,PX-200,60,1.96,5.42,187.8,11.8,50,0
PX200-0525,PX-200,65.2,4.2,4.29,176.8,13.6,1376,0
PX200-0526,PX-200,53.8,1.9,5.04,200.5,11.7,700,0
PX200-0527,PX-200,63.3,1.01,5.47,167,10.2,1676,1
PX200-0528,PX-200,75.9,4.53,5.29,154.5,11.6,1248,0
PX200-0529,PX-200,93.4,5.95,3.97,159.1,13,2732,1
PX200-0530,PX-200,65,1.93,5.53,172.4,11.5,854,0
PX200-0531,PX-200,67.8,1.25,4.86,182,10.6,382,0
PX200-0532,PX-200,64.5,2.25,5.01,191.4,12.8,915,0
PX200-0533,PX-200,55.9,1.8,4.89,187.6,9.9,1234,0
PX200-0534,PX-200,81.1,4.29,4.94,160.2,13.6,465,0
PX200-0535,PX-200,78.7,4.66,4.59,159.8,14.2,1585,0
PX200-0536,PX-200,58.8,2.13,4.98,162.8,10.1,468,0
PX200-0537,PX-200,84.1,6.91,3.99,133.5,16.7,1218,1
PX200-0538,PX-200,85.4,6.6,4.15,136.9,14.7,3000,1
PX200-0539,PX-200,65.2,2.11,5.45,194.7,10.4,1136,0
PX200-0540,PX-200,70.9,1.35,5.39,209.6,9,498,0
PX200-0541,PX-200,62.7,0.98,5.07,199.8,11.4,836,0
PX200-0542,PX-200,79.7,5.61,4.67,178.3,13.1,746,1
PX200-0543,PX-200,57.8,2.15,5.12,206.7,9.6,413,0
PX200-0544,PX-200,69,1.75,5.61,166.3,10.3,934,0
PX200-0545,PX-200,76,3,4.85,212.1,11.5,108,0
PX200-0546,PX-200,75.4,4.19,3.98,148.4,13.5,340,0
PX200-0547,PX-200,79.3,4.82,4.27,131.9,16.8,1014,0
PX200-0548,PX-200,76.2,4.08,4.73,164.8,13.2,836,1
PX200-0549,PX-200,69,2.54,4.96,179.8,10.3,625,0
PX200-0550,PX-200,93.7,5.1,3.67,118.9,14.5,2187,0
PX200-0551,PX-200,84.2,5.43,4.61,144,14.9,2794,1
PX200-0552,PX-200,52.1,2.4,5.72,182.6,10.8,1270,0
PX200-0553,PX-200,69.2,1.26,5.05,176.9,11.4,862,0
PX200-0554,PX-200,46.8,2.8,5.25,219.1,9.8,973,0
PX200-0555,PX-200,102.5,6.7,3.87,121.4,15.6,2573,1
PX200-0556,PX-200,62.9,2.19,5.36,210.8,10.2,1404,0
PX200-0557,PX-200,58,1.97,5.52,196.5,11,764,0
PX200-0558,PX-200,84,6.58,4.58,143.1,13.8,2234,1
PX200-0559,PX-200,75.8,4.15,4.73,147.9,12.7,887,0
PX200-0560,PX-200,58.6,2.77,5.68,141,12.7,1299,0
PX200-0561,PX-200,61.7,2.35,5.64,199.9,10.3,569,0
PX200-0562,PX-200,59.7,2.99,5.67,191.8,11.1,50,0
PX200-0563,PX-200,83.2,5.46,4.79,173.8,11.4,1232,0
PX200-0564,PX-200,53.7,3.11,5.74,175.7,8.9,957,0
PX200-0565,PX-200,60.7,2.41,5.31,207.4,10.3,551,0
PX200-0566,PX-200,76.5,4.45,4.62,145.6,12,1228,0
PX200-0567,PX-200,71.4,1.32,5.58,190.4,11.2,438,0
PX200-0568,PX-200,77.5,4.66,4.9,159.3,15.4,1713,0
PX200-0569,PX-200,74.3,3.51,4.79,185.8,13,1023,0
PX200-0570,PX-200,98.8,7.59,4.15,133.2,16.4,2014,1
PX200-0571,PX-200,59.3,3.33,5.51,186.6,9.8,1206,0
PX200-0572,PX-200,72.8,3.17,4.95,161.7,15.2,1335,0
PX200-0573,PX-200,61.9,2.71,5.16,201,10.2,776,0
PX200-0574,PX-200,66.5,1.36,6.2,192.6,11.6,547,0
PX200-0575,PX-200,58.1,3.08,4.56,213,8.6,526,1
PX200-0576,PX-200,57.8,1.6,4.82,184.9,12.3,890,0
PX200-0577,PX-200,57.2,3.16,5.21,174.6,12.8,278,0
PX200-0578,PX-200,66.1,3.01,4.97,185.1,10.7,613,0
PX200-0579,PX-200,80.7,4.69,4.41,134.4,13.3,2028,1
PX200-0580,PX-200,70.4,1.52,5.44,206.3,8.8,717,0
PX200-0581,PX-200,88,5.32,4.77,183.3,14.5,1083,0
PX200-0582,PX-200,65.9,2.92,5.22,221,10.3,629,0
PX200-0583,PX-200,70,4.51,5.03,166.5,11.6,1839,0
PX200-0584,PX-200,77,4.79,4.53,160.5,14.9,1205,1
PX200-0585,PX-200,59.9,2.07,5.01,176.5,8.9,995,0
PX200-0586,PX-200,65.4,2.56,5.32,196.9,13,624,0
PX200-0587,PX-200,59.3,1.12,5.49,178,11.1,650,0
PX200-0588,PX-200,67.7,2.63,4.83,172.7,9.5,310,0
PX200-0589,PX-200,85.5,6.36,4.13,152.5,17.4,1624,1
PX200-0590,PX-200,82.9,7.73,4.06,143.3,13.6,1916,1
PX200-0591,PX-200,76.1,3.55,4.93,165.7,13,1266,0
PX200-0592,PX-200,71.5,3.81,4.6,164.1,14.9,1158,0
PX200-0593,PX-200,63.2,2.14,5.29,204.4,9.4,807,0
PX200-0594,PX-200,63.8,0.85,5.14,211.9,13.2,867,0
PX200-0595,PX-200,66.2,5.55,4.71,171.8,12.1,1273,0
PX200-0596,PX-200,81.1,3.94,4.71,166.8,14.1,1814,0
PX200-0597,PX-200,60.6,2.77,5.17,188.6,13.1,641,0
PX200-0598,PX-200,66.8,1.91,5.29,169.2,10.5,421,0
PX200-0599,PX-200,81.4,7.11,4.03,151.6,15.5,1869,1
PX200-0600,PX-200,81.9,3.36,4.79,147,11.9,1864,0
PX200-0601,PX-200,71.1,4.08,4.79,173,14.9,1770,0
PX200-0602,PX-200,65.2,2.47,4.73,190.4,10.2,384,0
PX200-0603,PX-200,67.6,4.31,4.7,172,12.4,833,0
PX200-0604,PX-200,57,1.69,5.15,160.3,9.1,915,0
PX200-0605,PX-200,57,1.26,4.49,217.9,12.4,152,0
PX200-0606,PX-200,76.4,4.99,4.65,143.1,14.3,1519,1
PX200-0607,PX-200,67.9,2.33,4.81,200.1,11.2,176,0
PX200-0608,PX-200,79.2,3.87,4.22,149.2,15.4,1419,0
PX200-0609,PX-200,58.3,3.24,5.15,164.3,11.2,316,0
PX200-0610,PX-200,59.3,4.14,4.83,211,11.2,50,0
PX200-0611,PX-200,87.1,6.81,3.71,139.4,15.5,1315,1
PX200-0612,PX-200,70.8,3.36,5.84,196.4,12.4,926,0
PX200-0613,PX-200,63.7,2.67,5.08,212.5,12.3,1708,0
PX200-0614,PX-200,85.5,4.49,4.59,157.4,13.6,1202,0
PX200-0615,PX-200,60.1,3.08,4.81,190.6,11.4,484,1
PX200-0616,PX-200,85,6.74,3.95,131.7,12.8,1934,1
PX200-0617,PX-200,68.5,1.54,5.5,168.2,10.7,1361,0
PX200-0618,PX-200,81.2,5.07,4.45,157.5,15.3,1403,1
PX200-0619,PX-200,56.7,2.95,5.17,146.4,12.8,917,0
PX200-0620,PX-200,58.8,3.26,4.82,179.5,9.9,897,0
PX200-0621,PX-200,81.6,4.36,5.18,143.9,13.3,1549,0
PX200-0622,PX-200,76.4,4.63,4.62,148.3,12.7,976,0
PX200-0623,PX-200,68.9,3.79,4.88,148.1,14.1,2134,0
PX200-0624,PX-200,73.8,4.59,4.75,136.3,13.6,1407,1
PX200-0625,PX-200,69.2,0.9,5.27,189.1,11.7,775,0
PX200-0626,PX-200,59.3,5.04,4.27,171.1,13.2,910,0
PX200-0627,PX-200,63.7,2.5,5.13,190.7,11.5,932,0
PX200-0628,PX-200,77.5,1.11,5.15,190.8,13.1,837,0
PX200-0629,PX-200,62.4,2.06,5.05,190.1,10,743,0
PX200-0630,PX-200,80.9,3.79,4.47,140.5,12.9,1582,0
PX200-0631,PX-200,69.6,2.16,5.46,194.9,11.8,119,0
PX200-0632,PX-200,58.3,0.32,4.97,209.9,10.4,1209,0
PX200-0633,PX-200,66.9,1.92,4.86,189,10,50,0
PX200-0634,PX-200,81.7,8.8,3.97,138.4,15.8,1544,1
PX200-0635,PX-200,72.3,1.47,6,198.9,11.5,870,0
PX200-0636,PX-200,57.9,2.5,5.46,172.4,9.5,852,0
PX200-0637,PX-200,79.3,4.23,3.98,154.5,12.7,975,1
PX200-0638,PX-200,90.4,5.6,4.14,135.8,15.1,1872,1
PX200-0639,PX-200,70.7,3.72,4.91,186.2,9.5,122,0
PX200-0640,PX-200,89.7,4.46,4.5,160.4,13.6,1970,0
PX200-0641,PX-200,65.5,2.56,5.34,227.4,12.3,1121,0
PX200-0642,PX-200,63.7,4.09,5.11,169.5,11,842,0
PX200-0643,PX-200,82.4,4.36,3.91,169.8,12.3,944,1
PX200-0644,PX-200,85.6,4.24,4.77,172.6,13,1534,1
PX200-0645,PX-200,64.8,3.66,5,187.5,10.8,1428,0
PX200-0646,PX-200,72.1,5.05,3.95,194.8,14.3,2078,1
PX200-0647,PX-200,66.3,3.87,5.03,157.7,9.1,964,0
PX200-0648,PX-200,83.4,5.27,4.68,123.7,16.2,1937,1
PX200-0649,PX-200,85.2,7.31,4.12,156.3,15,2585,1
PX200-0650,PX-200,73.9,4.94,4.67,188.8,9.5,1639,1
PX200-0651,PX-200,82,6.65,4.36,125,13.4,2450,0
PX200-0652,PX-200,74.7,4.6,4.71,176.1,12.1,1280,0
PX200-0653,PX-200,79.2,3.78,5.27,144.1,14,1190,1
PX200-0654,PX-200,56.1,2.23,5.17,182.3,8.9,1741,0
PX200-0655,PX-200,58.9,4.79,4.93,178.8,14.7,693,0
PX200-0656,PX-200,75.2,3.55,4.86,135.5,11.8,992,0
PX200-0657,PX-200,51.9,1.89,5.31,193.4,10.5,180,0
PX200-0658,PX-200,85.5,6.01,4.75,155.3,16.1,1723,1
PX200-0659,PX-200,81.7,7.08,3.79,107.9,16.3,1531,1
PX200-0660,PX-200,68.5,6.45,5.36,167.9,10.8,1456,1
PX200-0661,PX-200,83.9,6.61,4.02,142.3,17.1,2152,1
PX200-0662,PX-200,71.2,4.46,4.44,131.2,13.3,1022,0
PX200-0663,PX-200,68.6,2.18,4.9,215,10.8,1207,0
PX200-0664,PX-200,63.5,2.56,5.5,182.2,10.4,888,0
PX200-0665,PX-200,70.3,5.27,4.5,178.5,10.5,2160,0
PX200-0666,PX-200,69.2,2.26,4.34,182.1,9.5,1123,0
PX200-0667,PX-200,68.4,3.06,5,217.4,11.3,1153,0
PX200-0668,PX-200,83.4,4.84,4.1,125.8,16.5,2163,1
PX200-0669,PX-200,68.7,3.08,5.39,204.6,10.5,328,0
PX200-0670,PX-200,71.6,5.28,4.88,155.2,14,1640,0
PX200-0671,PX-200,77,4.43,4.58,142.3,13.3,1179,1
PX200-0672,PX-200,70.9,2.81,5.03,228.4,9.5,343,0
PX200-0673,PX-200,53.4,1.42,5.67,174,10.9,410,0
PX200-0674,PX-200,66.1,1.67,5.5,196.4,9.9,491,0
PX200-0675,PX-200,70.5,2.67,5.49,182.1,11.6,273,0
PX200-0676,PX-200,65.1,3.33,5.82,187.7,10.3,728,0
PX200-0677,PX-200,63.4,4.84,4.28,167.5,14.1,1930,0
PX200-0678,PX-200,58.5,3.46,5.31,180.8,10.1,1209,0
PX200-0679,PX-200,73.6,5.8,5.24,153.6,12.8,1338,0
PX200-0680,PX-200,66,3.46,5.05,190.9,15.6,673,0
PX200-0681,PX-200,66.4,1.88,5.84,203,8.3,756,0
PX200-0682,PX-200,55.4,2.46,4.46,190.7,13.4,494,0
PX200-0683,PX-200,53.1,1.96,5.54,180.4,10.3,799,0
PX200-0684,PX-200,65,3.4,4.69,166.9,13,883,0
PX200-0685,PX-200,58.1,2.77,5.3,203.5,11.3,1149,0
PX200-0686,PX-200,87.7,7.07,3.74,155.3,18.3,2100,1
PX200-0687,PX-200,64.5,5.93,5.04,166.6,14.8,1409,1
PX200-0688,PX-200,55.6,2.52,5.21,211.3,12.8,1007,0
PX200-0689,PX-200,59.7,2.66,5.02,164.7,12.5,50,0
PX200-0690,PX-200,52.8,2.05,5.29,188.9,12.8,50,0
PX200-0691,PX-200,70,1.41,5.96,166.4,9.2,50,0
PX200-0692,PX-200,74.7,5.65,4.92,186,11.7,1001,0
PX200-0693,PX-200,76.7,2.73,5.06,190.3,10.5,516,0
PX200-0694,PX-200,64.4,3.59,4.41,161.2,12.2,2080,1
PX200-0695,PX-200,88.2,5.64,4.87,146.9,12,1408,0
PX200-0696,PX-200,68.7,2.62,6.04,178.3,12.2,519,0
PX200-0697,PX-200,76.3,3.26,5,169.7,13.1,1937,0
PX200-0698,PX-200,69.1,5.27,4.73,137.5,13.2,1974,1
PX200-0699,PX-200,70.4,2.57,5.73,150.3,10.8,192,0
PX200-0700,PX-200,54,2.55,5.74,194.6,12.3,399,0
PX200-0701,PX-200,62.4,1.43,4.66,163.6,10.6,701,0
PX200-0702,PX-200,73.4,4.48,4.58,154,14.5,559,0
PX200-0703,PX-200,64.1,2.18,5.47,174.5,9.9,880,0
PX200-0704,PX-200,69.3,4.51,4.49,169.5,13.5,1347,0
PX200-0705,PX-200,76.7,5.57,5.18,167.8,13.6,935,0
PX200-0706,PX-200,70.2,5.35,4.93,164.9,13.6,1678,0
PX200-0707,PX-200,55.6,1.78,5.85,175.5,11,856,0
PX200-0708,PX-200,60.1,3.29,5.13,189.3,12.5,799,0
PX200-0709,PX-200,64.8,3.32,5.45,159.4,11.3,1202,0
PX200-0710,PX-200,95,5.7,4.17,142.6,14.8,1572,0
PX200-0711,PX-200,50.3,3.05,5.82,192.1,10.8,1301,0
PX200-0712,PX-200,61,3.55,5.07,228.6,10.2,394,0
PX200-0713,PX-200,72.4,2.06,5.72,212.1,11.7,1034,0
PX200-0714,PX-200,60.2,2.28,4.37,187.7,8.6,50,0
PX200-0715,PX-200,67.9,2.31,4.77,178.3,12.3,447,0
PX200-0716,PX-200,66.3,2.32,5.55,168.6,11.3,1013,0
PX200-0717,PX-200,72.6,2.28,5.98,209.1,12,462,0
PX200-0718,PX-200,65.3,2.84,5.59,170,11.5,538,0
PX200-0719,PX-200,71,2.84,4.86,202.9,9.6,441,0
PX200-0720,PX-200,63.3,2.78,4.9,155.1,10.5,1064,0
PX200-0721,PX-200,64.9,1.5,5.21,189.4,13.7,975,0
PX200-0722,PX-200,70.5,2.25,5.4,189.2,9.8,907,0
PX200-0723,PX-200,78.2,2.87,4.56,134,11.5,1262,0
PX200-0724,PX-200,54.4,2.34,5.72,173.2,10.8,543,0
PX200-0725,PX-200,79.4,4.61,4.92,147.5,16.1,2048,0
PX200-0726,PX-200,69.4,4.01,4.48,170.9,14.3,1468,0
PX200-0727,PX-200,88.9,6.83,3.45,159.9,16.3,2022,1
PX200-0728,PX-200,80,4.42,4.84,157.6,13.1,1150,1
PX200-0729,PX-200,47.2,2.16,4.58,180,9.8,1122,0
PX200-0730,PX-200,90.9,6.09,4.1,149.7,13.8,1831,1
PX200-0731,PX-200,66.1,2.84,5.59,189.6,11.3,249,0
PX200-0732,PX-200,66,1.71,5.19,173.4,13,658,0
PX200-0733,PX-200,62.1,2.11,5.55,206.7,10.3,50,0
PX200-0734,PX-200,63.7,1.17,5.4,152.4,11.3,895,0
PX200-0735,PX-200,54.8,1.79,5.42,181.5,10.1,1498,0
PX200-0736,PX-200,61.7,2.59,4.37,176.4,9.3,350,0
PX200-0737,PX-200,64.5,3.59,5.28,170.1,12.2,1170,0
PX200-0738,PX-200,83,4.17,5.3,167.7,13.5,1740,0
PX200-0739,PX-200,90.1,8.25,4.53,114.3,18.3,1852,1
PX200-0740,PX-200,68.5,2.81,6.04,199.7,10.3,134,0
PX200-0741,PX-200,84.5,6.56,4.29,138.7,13.6,1877,1
PX200-0742,PX-200,66.8,2.99,4.94,177.6,11.8,715,0
PX200-0743,PX-200,65.1,1.39,5.09,205,10.9,416,0
PX200-0744,PX-200,51.9,3.52,5.71,155.6,11.9,642,0
PX200-0745,PX-200,57,2.69,4.78,184.9,9.5,203,0
PX200-0746,PX-200,57.6,1.83,5.03,193,11.9,50,0
PX200-0747,PX-200,87.9,3.79,4.9,147.6,13,1731,1
PX200-0748,PX-200,63.2,1.84,5.43,171.5,10.3,1073,0
PX200-0749,PX-200,68.3,3.35,4.58,156.2,14.3,490,0
PX200-0750,PX-200,77.5,4.5,4.08,141.4,14.2,1487,0
PX200-0751,PX-200,70.8,5.52,4.86,159.3,13.3,1849,0
PX200-0752,PX-200,56.5,3.15,5.18,197.2,10.1,945,0
PX200-0753,PX-200,57.2,1.99,5.29,208.9,8.9,1340,0
PX200-0754,PX-200,87,5.28,3.8,153.1,15.2,2235,0
PX200-0755,PX-200,61.4,2.27,5.05,168.3,12.1,772,0
PX200-0756,PX-200,62.8,4.07,4.62,169.5,13,1636,0
PX200-0757,PX-200,61.2,2.76,5.81,192.8,11.9,1284,0
PX200-0758,PX-200,57.7,2.27,5.15,172.2,10.5,1428,0
PX200-0759,PX-200,56.4,1.21,4.98,202.2,10.2,1180,0
PX200-0760,PX-200,93.3,4.83,5.3,175.8,12.1,1191,0
PX200-0761,PX-200,63.1,2.77,5.79,164.1,12.7,333,0
PX200-0762,PX-200,60.4,2.25,4.5,162.9,12.8,1915,0
PX200-0763,PX-200,76.3,4.17,4.45,149.4,11.1,1026,0
PX200-0764,PX-200,77.8,4.94,4.69,145.1,13.7,1657,1
PX200-0765,PX-200,54.8,3.29,4.74,197.8,13.5,930,0
PX200-0766,PX-200,79.5,7.41,3.83,117.9,16,1756,1
PX200-0767,PX-200,69.1,2.51,5.23,186,9.5,918,0
PX200-0768,PX-200,55.4,1.58,5.64,194.3,11.2,317,0
PX200-0769,PX-200,63.2,1.31,5.13,199.9,10.7,715,0
PX200-0770,PX-200,54.2,3.37,5.09,180.6,11.4,282,0
PX200-0771,PX-200,67.5,1.97,5.15,187.1,10.8,1132,0
PX200-0772,PX-200,61.9,4.69,5.07,190.5,15.6,1390,0
PX200-0773,PX-200,72,5.57,4.86,173.4,12.2,1066,0
PX200-0774,PX-200,66.3,2.59,4.94,162.2,10.6,654,1
